[b'200860', b'5', b'0', b'0', b'0', b'0'] 1
[b'14981248', b'0', b'0', b'0', b'182', b'125'] 148
[b'15081804', b'0', b'23', b'0', b'4', b'70'] 149
[b'15182364', b'0', b'90', b'0', b'0', b'47'] 150
[b'15282932', b'0', b'7', b'0', b'41', b'45'] 151
[b'15383500', b'0', b'0', b'0', b'153', b'14'] 152
[b'15484060', b'0', b'0', b'0', b'70', b'0'] 153
[b'15584620', b'0', b'30', b'5', b'0', b'0'] 154
[b'15685180', b'0', b'112', b'14', b'14', b'0'] 155
[b'15785748', b'0', b'105', b'23', b'0', b'0'] 156
[b'15886316', b'0', b'254', b'31', b'26', b'0'] 157
[b'15986876', b'0', b'0', b'41', b'0', b'21'] 158
[b'16087440', b'8', b'31', b'49', b'80', b'0'] 159
[b'16187996', b'16', b'26', b'54', b'25', b'0'] 160
[b'16288608', b'31', b'0', b'57', b'43', b'0'] 161
[b'16389216', b'32', b'7', b'59', b'14', b'0'] 162
[b'16489820', b'38', b'102', b'62', b'0', b'0'] 163
[b'16590416', b'46', b'14', b'57', b'0', b'0'] 164
[b'16691020', b'52', b'0', b'51', b'0', b'0'] 165
[b'16791632', b'47', b'0', b'49', b'0', b'0'] 166
[b'16892240', b'49', b'0', b'38', b'0', b'0'] 167
[b'16992840', b'46', b'0', b'17', b'0', b'0'] 168
[b'17093448', b'22', b'0', b'3', b'46', b'0'] 169
[b'17194060', b'30', b'0', b'16', b'0', b'0'] 170
[b'17294656', b'1', b'0', b'0', b'13', b'40'] 171
[b'17395212', b'28', b'0', b'0', b'0', b'0'] 172
[b'17495824', b'0', b'0', b'0', b'0', b'0'] 173
[b'17596388', b'0', b'9', b'0', b'0', b'23'] 174
[b'17696956', b'0', b'5', b'0', b'0', b'0'] 175
[b'17797508', b'0', b'0', b'0', b'0', b'0'] 176
[b'17898068', b'0', b'0', b'0', b'0', b'0'] 177
[b'17998636', b'12', b'0', b'0', b'0', b'156'] 178
[b'18099248', b'0', b'0', b'0', b'0', b'42'] 179
[b'18199804', b'0', b'0', b'0', b'0', b'0'] 180
[b'18300368', b'0', b'0', b'0', b'0', b'152'] 181
[b'18400928', b'0', b'0', b'0', b'0', b'0'] 182
[b'18501492', b'10', b'0', b'0', b'0', b'0'] 183
[b'18602104', b'0', b'0', b'0', b'0', b'100'] 184
[b'18702660', b'0', b'0', b'0', b'0', b'181'] 185
[b'18803220', b'0', b'0', b'330', b'0', b'124'] 186
[b'18903788', b'150', b'0', b'210', b'0', b'0'] 187
[b'19004444', b'0', b'0', b'0', b'0', b'21'] 188
[b'19105008', b'112', b'0', b'19', b'25', b'0'] 189
[b'19205656', b'0', b'0', b'0', b'105', b'0'] 190
[b'19306220', b'0', b'0', b'182', b'125', b'0'] 191
[b'19406788', b'23', b'0', b'4', b'70', b'0'] 192
[b'19507396', b'90', b'0', b'0', b'47', b'0'] 193
[b'19607992', b'7', b'0', b'41', b'45', b'0'] 194
[b'19708552', b'0', b'0', b'153', b'14', b'0'] 195
[b'19809116', b'0', b'0', b'70', b'0', b'0'] 196
[b'19909684', b'30', b'5', b'0', b'0', b'0'] 197
[b'20010288', b'112', b'14', b'14', b'0', b'0'] 198
[b'20110932', b'105', b'23', b'0', b'0', b'0'] 199
[b'20211588', b'254', b'31', b'26', b'0', b'0'] 200
[b'20312244', b'0', b'41', b'0', b'21', b'0'] 201
[b'20412808', b'31', b'49', b'80', b'0', b'0'] 202
[b'20513408', b'26', b'54', b'25', b'0', b'0'] 203
[b'20614016', b'0', b'57', b'43', b'0', b'8'] 204
[b'20714580', b'7', b'59', b'14', b'0', b'16'] 205
[b'20815140', b'102', b'62', b'0', b'0', b'31'] 206
[b'20915788', b'14', b'57', b'0', b'0', b'32'] 207
[b'21016400', b'0', b'51', b'0', b'0', b'38'] 208
[b'21116960', b'0', b'49', b'0', b'0', b'46'] 209
[b'21217516', b'0', b'38', b'0', b'0', b'52'] 210
[b'21318076', b'0', b'17', b'0', b'0', b'47'] 211
[b'21418636', b'0', b'3', b'46', b'0', b'49'] 212
[b'21519204', b'0', b'16', b'0', b'0', b'46'] 213
[b'21619776', b'0', b'0', b'13', b'40', b'22'] 214
[b'21720332', b'0', b'0', b'0', b'0', b'30'] 215
[b'21820892', b'0', b'0', b'0', b'0', b'1'] 216
[b'21921284', b'9', b'0', b'0', b'23', b'28'] 217
[b'22021752', b'5', b'0', b'0', b'0', b'0'] 218
[b'22122224', b'0', b'0', b'0', b'0', b'0'] 219
[b'22222696', b'0', b'0', b'0', b'0', b'0'] 220
[b'22323168', b'0', b'0', b'0', b'156', b'0'] 221
[b'22423640', b'0', b'0', b'0', b'42', b'0'] 222
[b'22524116', b'0', b'0', b'0', b'0', b'12'] 223
[b'22624588', b'0', b'0', b'0', b'152', b'0'] 224
[b'22725060', b'0', b'0', b'0', b'0', b'0'] 225
[b'22825528', b'0', b'0', b'0', b'0', b'0'] 226
[b'22926044', b'0', b'0', b'0', b'100', b'0'] 227
[b'23026556', b'0', b'0', b'0', b'181', b'10'] 228
[b'23127068', b'0', b'330', b'0', b'124', b'0'] 229
[b'23227584', b'0', b'210', b'0', b'0', b'0'] 230
[b'23328112', b'0', b'0', b'0', b'21', b'0'] 231
[b'23428624', b'0', b'19', b'25', b'0', b'150'] 232
[b'23529140', b'0', b'0', b'105', b'0', b'0'] 233
[b'23629652', b'0', b'182', b'125', b'0', b'112'] 234
[b'23730164', b'0', b'4', b'70', b'0', b'0'] 235
[b'23830684', b'0', b'0', b'47', b'0', b'0'] 236
[b'23931200', b'0', b'41', b'45', b'0', b'23'] 237
[b'24031724', b'0', b'153', b'14', b'0', b'90'] 238
[b'24132240', b'0', b'70', b'0', b'0', b'7'] 239
[b'24232748', b'5', b'0', b'0', b'0', b'0'] 240
[b'24333260', b'14', b'14', b'0', b'0', b'0'] 241
[b'24433820', b'23', b'0', b'0', b'0', b'30'] 242
[b'24534380', b'31', b'26', b'0', b'0', b'112'] 243
[b'24634944', b'41', b'0', b'21', b'0', b'105'] 244
[b'24735504', b'49', b'80', b'0', b'0', b'254'] 245
[b'24836064', b'54', b'25', b'0', b'0', b'0'] 246
[b'24936632', b'57', b'43', b'0', b'8', b'31'] 247
[b'25037200', b'59', b'14', b'0', b'16', b'26'] 248
[b'25137764', b'62', b'0', b'0', b'31', b'0'] 249
[b'25238320', b'57', b'0', b'0', b'32', b'7'] 250
[b'25338880', b'51', b'0', b'0', b'38', b'102'] 251
[b'25439448', b'49', b'0', b'0', b'46', b'14'] 252
[b'25540020', b'38', b'0', b'0', b'52', b'0'] 253
[b'25640576', b'17', b'0', b'0', b'47', b'0'] 254
[b'25741136', b'3', b'46', b'0', b'49', b'0'] 255
[b'25841652', b'16', b'0', b'0', b'46', b'0'] 256
[b'25942212', b'0', b'13', b'40', b'22', b'0'] 257
[b'26042728', b'0', b'0', b'0', b'30', b'0'] 258
[b'26143252', b'0', b'0', b'0', b'1', b'0'] 259
[b'26243764', b'0', b'0', b'23', b'28', b'0'] 260
[b'26344276', b'0', b'0', b'0', b'0', b'0'] 261
[b'26444788', b'0', b'0', b'0', b'0', b'9'] 262
[b'26545308', b'0', b'0', b'0', b'0', b'5'] 263
[b'26645828', b'0', b'0', b'156', b'0', b'0'] 264
[b'26746348', b'0', b'0', b'42', b'0', b'0'] 265
[b'26846860', b'0', b'0', b'0', b'12', b'0'] 266
[b'26947372', b'0', b'0', b'152', b'0', b'0'] 267
[b'27047884', b'0', b'0', b'0', b'0', b'0'] 268
[b'27148400', b'0', b'0', b'0', b'0', b'0'] 269
[b'27248912', b'0', b'0', b'100', b'0', b'0'] 270
[b'27349432', b'0', b'0', b'181', b'10', b'0'] 271
[b'27449948', b'330', b'0', b'124', b'0', b'0'] 272
[b'27550548', b'210', b'0', b'0', b'0', b'0'] 273
[b'27651148', b'0', b'0', b'21', b'0', b'0'] 274
[b'27751672', b'19', b'25', b'0', b'150', b'0'] 275
[b'27852232', b'0', b'105', b'0', b'0', b'0'] 276
[b'27952748', b'182', b'125', b'0', b'112', b'0'] 277
[b'28053352', b'4', b'70', b'0', b'0', b'0'] 278
[b'28153860', b'0', b'47', b'0', b'0', b'0'] 279
[b'28254384', b'41', b'45', b'0', b'23', b'0'] 280
[b'28354940', b'153', b'14', b'0', b'90', b'0'] 281
[b'28455540', b'70', b'0', b'0', b'7', b'0'] 282
[b'28556096', b'0', b'0', b'0', b'0', b'0'] 283
[b'28656612', b'14', b'0', b'0', b'0', b'0'] 284
[b'28757180', b'0', b'0', b'0', b'30', b'5'] 285
[b'28857700', b'26', b'0', b'0', b'112', b'14'] 286
[b'28958264', b'0', b'21', b'0', b'105', b'23'] 287
[b'29058780', b'80', b'0', b'0', b'254', b'31'] 288
[b'29159336', b'25', b'0', b'0', b'0', b'41'] 289
[b'29259896', b'43', b'0', b'8', b'31', b'49'] 290
[b'29360464', b'14', b'0', b'16', b'26', b'54'] 291
[b'29461032', b'0', b'0', b'31', b'0', b'57'] 292
[b'29561548', b'0', b'0', b'32', b'7', b'59'] 293
[b'29662060', b'0', b'0', b'38', b'102', b'62'] 294
[b'29762572', b'0', b'0', b'46', b'14', b'57'] 295
[b'29863092', b'0', b'0', b'52', b'0', b'51'] 296
[b'29963612', b'0', b'0', b'47', b'0', b'49'] 297
[b'30064132', b'46', b'0', b'49', b'0', b'38'] 298
[b'30164688', b'0', b'0', b'46', b'0', b'17'] 299
[b'30265204', b'13', b'40', b'22', b'0', b'3'] 300
[b'30365760', b'0', b'0', b'30', b'0', b'16'] 301
[b'30466280', b'0', b'0', b'1', b'0', b'0'] 302
[b'30566804', b'0', b'23', b'28', b'0', b'0'] 303
[b'30667316', b'0', b'0', b'0', b'0', b'0'] 304
[b'30767828', b'0', b'0', b'0', b'9', b'0'] 305
[b'30868344', b'0', b'0', b'0', b'5', b'0'] 306
[b'30968860', b'0', b'156', b'0', b'0', b'0'] 307
[b'31069380', b'0', b'42', b'0', b'0', b'0'] 308
[b'31169896', b'0', b'0', b'12', b'0', b'0'] 309
[b'31270420', b'0', b'152', b'0', b'0', b'0'] 310
[b'31370932', b'0', b'0', b'0', b'0', b'0'] 311
[b'31471444', b'0', b'0', b'0', b'0', b'0'] 312
[b'31571956', b'0', b'100', b'0', b'0', b'0'] 313
[b'31672480', b'0', b'181', b'10', b'0', b'0'] 314
[b'31773000', b'0', b'124', b'0', b'0', b'0'] 315
[b'31873516', b'0', b'0', b'0', b'0', b'0'] 316
[b'31974072', b'0', b'21', b'0', b'0', b'330'] 317
[b'32074636', b'25', b'0', b'150', b'0', b'210'] 318
[b'32175240', b'105', b'0', b'0', b'0', b'0'] 319
[b'32275896', b'125', b'0', b'112', b'0', b'19'] 320
[b'32376544', b'70', b'0', b'0', b'0', b'0'] 321
[b'32477148', b'47', b'0', b'0', b'0', b'182'] 322
[b'32577752', b'45', b'0', b'23', b'0', b'4'] 323
[b'32678360', b'14', b'0', b'90', b'0', b'0'] 324
[b'32778964', b'0', b'0', b'7', b'0', b'41'] 325
[b'32879520', b'0', b'0', b'0', b'0', b'153'] 326
[b'32980080', b'0', b'0', b'0', b'0', b'70'] 327
[b'33080648', b'0', b'0', b'30', b'5', b'0'] 328
[b'33181216', b'0', b'0', b'112', b'14', b'14'] 329
[b'33281776', b'21', b'0', b'105', b'23', b'0'] 330
[b'33382384', b'0', b'0', b'254', b'31', b'26'] 331
[b'33482944', b'0', b'0', b'0', b'41', b'0'] 332
[b'33583512', b'0', b'8', b'31', b'49', b'80'] 333
[b'33684072', b'0', b'16', b'26', b'54', b'25'] 334
[b'33784632', b'0', b'31', b'0', b'57', b'43'] 335
[b'33885192', b'0', b'32', b'7', b'59', b'14'] 336
[b'33985760', b'0', b'38', b'102', b'62', b'0'] 337
[b'34086328', b'0', b'46', b'14', b'57', b'0'] 338
[b'34186892', b'0', b'52', b'0', b'51', b'0'] 339
[b'34287448', b'0', b'47', b'0', b'49', b'0'] 340
[b'34388008', b'0', b'49', b'0', b'38', b'0'] 341
[b'34488576', b'0', b'46', b'0', b'17', b'0'] 342
[b'34589144', b'40', b'22', b'0', b'3', b'46'] 343
[b'34689748', b'0', b'30', b'0', b'16', b'0'] 344
[b'34790304', b'0', b'1', b'0', b'0', b'13'] 345
[b'34890864', b'23', b'28', b'0', b'0', b'0'] 346
[b'34991476', b'0', b'0', b'0', b'0', b'0'] 347
[b'35092032', b'0', b'0', b'9', b'0', b'0'] 348
[b'35192592', b'0', b'0', b'5', b'0', b'0'] 349
[b'35293152', b'156', b'0', b'0', b'0', b'0'] 350
[b'35393808', b'42', b'0', b'0', b'0', b'0'] 351
[b'35494420', b'0', b'12', b'0', b'0', b'0'] 352
[b'35594976', b'152', b'0', b'0', b'0', b'0'] 353
[b'35695624', b'0', b'0', b'0', b'0', b'0'] 354
[b'35796192', b'0', b'0', b'0', b'0', b'0'] 355
[b'35896760', b'100', b'0', b'0', b'0', b'0'] 356
[b'35997412', b'181', b'10', b'0', b'0', b'0'] 357
[b'36098060', b'124', b'0', b'0', b'0', b'0'] 358
[b'36198712', b'0', b'0', b'0', b'0', b'0'] 359
[b'36299280', b'21', b'0', b'0', b'330', b'0'] 360
[b'36399884', b'0', b'150', b'0', b'210', b'0'] 361
[b'36500444', b'0', b'0', b'0', b'0', b'0'] 362
[b'36601008', b'0', b'112', b'0', b'19', b'25'] 363
[b'36701576', b'0', b'0', b'0', b'0', b'105'] 364
[b'36802140', b'0', b'0', b'0', b'182', b'125'] 365
[b'36902696', b'0', b'23', b'0', b'4', b'70'] 366
[b'37003256', b'0', b'90', b'0', b'0', b'47'] 367
[b'37103824', b'0', b'7', b'0', b'41', b'45'] 368
[b'37204392', b'0', b'0', b'0', b'153', b'14'] 369
[b'37304952', b'0', b'0', b'0', b'70', b'0'] 370
[b'37405512', b'0', b'30', b'5', b'0', b'0'] 371
[b'37506072', b'0', b'112', b'14', b'14', b'0'] 372
[b'37606640', b'0', b'105', b'23', b'0', b'0'] 373
[b'37707208', b'0', b'254', b'31', b'26', b'0'] 374
[b'37807768', b'0', b'0', b'41', b'0', b'21'] 375
[b'37908332', b'8', b'31', b'49', b'80', b'0'] 376
[b'38008888', b'16', b'26', b'54', b'25', b'0'] 377
[b'38109500', b'31', b'0', b'57', b'43', b'0'] 378
[b'38210108', b'32', b'7', b'59', b'14', b'0'] 379
[b'38310712', b'38', b'102', b'62', b'0', b'0'] 380
[b'38411308', b'46', b'14', b'57', b'0', b'0'] 381
[b'38511912', b'52', b'0', b'51', b'0', b'0'] 382
[b'38612524', b'47', b'0', b'49', b'0', b'0'] 383
[b'38713132', b'49', b'0', b'38', b'0', b'0'] 384
[b'38813732', b'46', b'0', b'17', b'0', b'0'] 385
[b'38914340', b'22', b'0', b'3', b'46', b'0'] 386
[b'39014952', b'30', b'0', b'16', b'0', b'0'] 387
[b'39115548', b'1', b'0', b'0', b'13', b'40'] 388
[b'39216104', b'28', b'0', b'0', b'0', b'0'] 389
[b'39316716', b'0', b'0', b'0', b'0', b'0'] 390
[b'39417280', b'0', b'9', b'0', b'0', b'23'] 391
[b'39517848', b'0', b'5', b'0', b'0', b'0'] 392
[b'39618400', b'0', b'0', b'0', b'0', b'0'] 393
[b'39718960', b'0', b'0', b'0', b'0', b'0'] 394
[b'39819528', b'12', b'0', b'0', b'0', b'156'] 395
[b'39920140', b'0', b'0', b'0', b'0', b'42'] 396
[b'40020696', b'0', b'0', b'0', b'0', b'0'] 397
[b'40121260', b'0', b'0', b'0', b'0', b'152'] 398
[b'40221820', b'0', b'0', b'0', b'0', b'0'] 399
[b'40322384', b'10', b'0', b'0', b'0', b'0'] 400
[b'40422996', b'0', b'0', b'0', b'0', b'100'] 401
[b'40523552', b'0', b'0', b'0', b'0', b'181'] 402
[b'40624112', b'0', b'0', b'330', b'0', b'124'] 403
[b'40724680', b'150', b'0', b'210', b'0', b'0'] 404
[b'40825336', b'0', b'0', b'0', b'0', b'21'] 405
[b'40925900', b'112', b'0', b'19', b'25', b'0'] 406
[b'41026548', b'0', b'0', b'0', b'105', b'0'] 407
[b'41127112', b'0', b'0', b'182', b'125', b'0'] 408
[b'41227680', b'23', b'0', b'4', b'70', b'0'] 409
[b'41328288', b'90', b'0', b'0', b'47', b'0'] 410
[b'41428884', b'7', b'0', b'41', b'45', b'0'] 411
[b'41529444', b'0', b'0', b'153', b'14', b'0'] 412
[b'41630008', b'0', b'0', b'70', b'0', b'0'] 413
[b'41730576', b'30', b'5', b'0', b'0', b'0'] 414
[b'41831180', b'112', b'14', b'14', b'0', b'0'] 415
[b'41931824', b'105', b'23', b'0', b'0', b'0'] 416
[b'42032480', b'254', b'31', b'26', b'0', b'0'] 417
[b'42133136', b'0', b'41', b'0', b'21', b'0'] 418
[b'42233700', b'31', b'49', b'80', b'0', b'0'] 419
[b'42334300', b'26', b'54', b'25', b'0', b'0'] 420
[b'42434908', b'0', b'57', b'43', b'0', b'8'] 421
[b'42535472', b'7', b'59', b'14', b'0', b'16'] 422
[b'42636032', b'102', b'62', b'0', b'0', b'31'] 423
[b'42736680', b'14', b'57', b'0', b'0', b'32'] 424
[b'42837292', b'0', b'51', b'0', b'0', b'38'] 425
[b'42937852', b'0', b'49', b'0', b'0', b'46'] 426
[b'43038408', b'0', b'38', b'0', b'0', b'52'] 427
[b'43138968', b'0', b'17', b'0', b'0', b'47'] 428
[b'43239528', b'0', b'3', b'46', b'0', b'49'] 429
[b'43340096', b'0', b'16', b'0', b'0', b'46'] 430
[b'43440668', b'0', b'0', b'13', b'40', b'22'] 431
[b'43541224', b'0', b'0', b'0', b'0', b'30'] 432
[b'43641784', b'0', b'0', b'0', b'0', b'1'] 433
[b'43742176', b'9', b'0', b'0', b'23', b'28'] 434
[b'43842644', b'5', b'0', b'0', b'0', b'0'] 435
[b'43943116', b'0', b'0', b'0', b'0', b'0'] 436
[b'44043588', b'0', b'0', b'0', b'0', b'0'] 437
[b'44144060', b'0', b'0', b'0', b'156', b'0'] 438
[b'44244532', b'0', b'0', b'0', b'42', b'0'] 439
[b'44345008', b'0', b'0', b'0', b'0', b'12'] 440
[b'44445480', b'0', b'0', b'0', b'152', b'0'] 441
[b'44545952', b'0', b'0', b'0', b'0', b'0'] 442
[b'44646420', b'0', b'0', b'0', b'0', b'0'] 443
[b'44746936', b'0', b'0', b'0', b'100', b'0'] 444
[b'44847448', b'0', b'0', b'0', b'181', b'10'] 445
[b'44947960', b'0', b'330', b'0', b'124', b'0'] 446
[b'45048476', b'0', b'210', b'0', b'0', b'0'] 447
[b'45149004', b'0', b'0', b'0', b'21', b'0'] 448
[b'45249516', b'0', b'19', b'25', b'0', b'150'] 449
[b'45350032', b'0', b'0', b'105', b'0', b'0'] 450
